"case_id","event","episode_time_T","absolute_sim_time_T","distance_L","bearing_rad","relative_crossflow_body_y_U","body_axis_force","yaw_moment_z_L2","vtk_available","vtk_synchronized","vtk_synchronization_tolerance_T","vtk_frame_index","vtk_sim_time_T","vtk_time_delta_T"
"iteration_19__phase_0__crossflow_force_assistance","peak_absolute_yaw_moment","7.65594482421875","207.65594482421875","12.183000564575195","0.24188876152038574","0.5549259185791016","-899.878770490936","5.039666898172811","True","False","0.05","2","212.50152587890625","4.8455810546875"
"iteration_19__phase_0__crossflow_force_assistance","first_near_target","30.904449462890625","230.90444946289062","2.247284173965454","0.4238143563270569","-0.3328298330307007","4.395693959988677","-0.041580528064116606","True","False","0.05","4","233.73699951171875","2.832550048828125"
"iteration_19__phase_0__crossflow_force_assistance","final","33.73149108886719","233.7314910888672","0.7535472512245178","0.21024847030639648","-0.4894091784954071","-0.8282524753578429","-0.17253669993760923","True","True","0.05","4","233.73699951171875","0.0055084228515625"
"iteration_19__phase_0__moment_assistance","release","0.0","200.0","12.423931121826172","0.15332452952861786","-0.15811479091644287","0.16120408815296705","0.0017703002892339725","True","True","0.05","1","200.0054931640625","0.0054931640625"
"iteration_19__phase_0__moment_assistance","peak_absolute_crossflow","27.213897705078125","227.21389770507812","3.9156246185302734","0.3157605528831482","-0.6992264986038208","-5.675121103510208","-0.19316110983538692","True","False","0.05","3","225.00302124023438","-2.21087646484375"
"iteration_19__phase_0__moment_assistance","peak_absolute_yaw_moment","6.896942138671875","206.89694213867188","12.251531600952148","0.19527076184749603","0.4638094902038574","-682.5070854904797","4.136163914449199","True","False","0.05","2","212.50152587890625","5.604583740234375"
"iteration_19__phase_0__moment_assistance","first_near_target","30.574447631835938","230.57444763183594","2.248884677886963","0.20647291839122772","-0.33976686000823975","1.822502771259121","0.07348804818278154","True","False","0.05","4","233.4674835205078","2.893035888671875"
"iteration_19__phase_0__moment_assistance","final","33.46197509765625","233.46197509765625","0.7511273622512817","0.23371730744838715","-0.4692656993865967","-18.521909785300878","-0.18453932518451666","True","True","0.05","4","233.4674835205078","0.0055084228515625"
"iteration_19__phase_0__speed_release","release","0.0","200.0","12.423931121826172","0.15332452952861786","-0.15811479091644287","0.16120408815296705","0.0017703002892339725","True","True","0.05","1","200.0054931640625","0.0054931640625"
"iteration_19__phase_0__speed_release","peak_absolute_crossflow","28.022415161132812","228.0224151611328","3.789965867996216","0.32989445328712463","-0.7110803723335266","40.10778292172248","0.12118109587044046","True","False","0.05","3","225.00302124023438","-3.0193939208984375"
"iteration_19__phase_0__speed_release","peak_absolute_yaw_moment","6.913421630859375","206.91342163085938","12.35391902923584","0.3060959279537201","0.6422359943389893","-809.6486554985121","4.835771760167219","True","False","0.05","2","212.50152587890625","5.588104248046875"
"iteration_19__phase_0__speed_release","first_near_target","31.129974365234375","231.12997436523438","2.2497594356536865","-0.16327334940433502","0.4302140772342682","-23.190457813311998","0.22823840218529767","True","False","0.05","4","233.99549865722656","2.8655242919921875"
"iteration_19__phase_0__speed_release","final","33.989990234375","233.989990234375","0.7526108026504517","-0.47736263275146484","0.2624307870864868","-13.768896135973385","0.2326242058754815","True","True","0.05","4","233.99549865722656","0.0055084228515625"
